num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
120,102.54779231692066,36.88631207768119,0.36500529515581914,13.473661413737215,69.66979152648919,0.6862780259084544,IS,,MARWILTrainer,2014.458161830902
121,102.55529486515779,36.54045801461778,0.3561558988413436,13.242912290996104,69.39809808035,0.6637905608867699,IS,,MARWILTrainer,2014.458161830902
122,102.41991833710658,36.44767064191441,0.353734624109581,12.996025949572488,69.59206348350261,0.6640684011145087,IS,,MARWILTrainer,2014.458161830902
123,102.46796914035465,35.22982383920683,0.34466340642263454,12.805405537147857,64.86460196641843,0.6249489322420541,IS,,MARWILTrainer,2014.458161830902
124,102.70863019101981,36.781597293546405,0.3581006609666781,13.113586993539498,69.35371586183335,0.6631625598316188,IS,,MARWILTrainer,2014.458161830902
125,102.44859804723687,35.732322948247486,0.34777598920787595,12.707954451914123,68.90777021298582,0.6605384769195819,IS,,MARWILTrainer,2014.458161830902
126,102.47981309842869,36.578869085089345,0.3543134065027683,12.804698116442804,69.76691929419648,0.6657739799779867,IS,,MARWILTrainer,2014.458161830902
127,102.26937862999071,36.930414003145955,0.35804710003412044,13.840870801792843,69.69415682322361,0.6648379663902254,IS,,MARWILTrainer,2014.458161830902
128,102.57685932217768,36.476174476977384,0.353243111914817,13.024576528653574,69.42400739577366,0.6619706895981703,IS,,MARWILTrainer,2014.458161830902
129,102.58637059886173,36.94640112984141,0.3590361694914045,12.695266151064388,69.8992685869829,0.6703955282662006,IS,,MARWILTrainer,2014.458161830902
130,102.31177202291605,36.686095271699784,0.3586932116414246,13.393371535249042,68.67768567701187,0.6651257344195634,IS,,MARWILTrainer,2014.458161830902
131,102.37581198172215,34.455056030022256,0.33508660089601744,13.893000441985365,64.29924804734719,0.6119595619173823,IS,,MARWILTrainer,2014.458161830902
132,102.77109620788353,36.06979001619498,0.3514169663587793,12.703447738626524,68.95614219407742,0.6611425289693493,IS,,MARWILTrainer,2014.458161830902
133,102.11876534604336,36.628179078864285,0.35623283154423174,14.045008579272691,69.62748933571277,0.6642665224230497,IS,,MARWILTrainer,2014.458161830902
134,102.64045537195163,36.793403669682,0.356180355005399,12.770261451523497,69.85591722751836,0.6666371900780945,IS,,MARWILTrainer,2014.458161830902
135,102.28380798419015,36.4647424991649,0.3610262828800692,14.365288700926119,69.4298656435911,0.6710624877729936,IS,,MARWILTrainer,2014.458161830902
136,102.34211736492232,36.724656086138005,0.3563590470309607,13.652397674345123,69.56589886421091,0.6635360001361805,IS,,MARWILTrainer,2014.458161830902
137,102.64037789634496,36.572441509668415,0.35359553590322024,12.479440634719467,69.69953087882601,0.6645478228356666,IS,,MARWILTrainer,2014.458161830902
138,102.41993526941992,34.45855226388826,0.335591304402384,14.179436448424518,64.30171945339875,0.6118576572661811,IS,,MARWILTrainer,2014.458161830902
139,102.39431878925505,36.30148425314045,0.3571181908938593,13.991475323389627,68.84995654397902,0.6612068276412096,IS,,MARWILTrainer,2014.458161830902
140,102.48217030902335,38.060072164418486,0.3705069632324778,12.634224322825354,77.21551380618088,0.7454976854773724,IS,,MARWILTrainer,2014.458161830902
141,102.40250866407538,36.90080850227884,0.35918663734376727,13.230132489600468,69.68538355565694,0.6655321491529231,IS,,MARWILTrainer,2014.458161830902
142,102.48325761977986,36.89139733046715,0.3607226007264994,13.561769093820983,69.6992811540602,0.6725583578712196,IS,,MARWILTrainer,2014.458161830902
143,102.55341110096134,36.47665850618185,0.3542358981497593,13.17793814703719,69.41642587294187,0.6627093367469368,IS,,MARWILTrainer,2014.458161830902
144,102.47193370124096,36.449969922618756,0.35289307901320444,12.871342741050377,69.59279372575818,0.6636122461954774,IS,,MARWILTrainer,2014.458161830902
145,102.46724263508221,35.55883817436901,0.35013696429215285,12.868538943128094,65.41022376197145,0.6420535791197961,IS,,MARWILTrainer,2014.458161830902
146,102.61420406445728,36.53619286381548,0.3543489062647014,13.604004199286361,69.35612122136745,0.6612172615080356,IS,,MARWILTrainer,2014.458161830902
147,102.4781432620416,35.75928164402779,0.3483865588005719,12.894175691243818,68.90039848273537,0.6605132271047525,IS,,MARWILTrainer,2014.458161830902
148,102.00467875720481,36.463009200797714,0.353809088739288,14.734438862082175,69.6497293524035,0.6645215674670575,IS,,MARWILTrainer,2014.458161830902
149,102.72414415230006,37.22993531204576,0.36024889193154797,12.676813571004134,69.82017799211965,0.6663345181652917,IS,,MARWILTrainer,2014.458161830902
